
  MMLU High School Biology Benchmark
  310 questions, model: llama3.2:3b

  [1/310] Q0: CORRECT (got A, correct A) — 100.0% — 256.3s (~1320m left)
  [2/310] Q1: WRONG (got B, correct A) — 50.0% — 140.8s (~1019m left)
  [3/310] Q2: CORRECT (got C, correct C) — 66.7% — 217.1s (~1048m left)
  [4/310] Q3: WRONG (got C, correct A) — 50.0% — 196.0s (~1033m left)
  [5/310] Q4: CORRECT (got C, correct C) — 60.0% — 101.0s (~926m left)
  [6/310] Q5: WRONG (got B, correct C) — 50.0% — 180.8s (~922m left)
  [7/310] Q6: WRONG (got A, correct B) — 42.9% — 89.8s (~853m left)
  [8/310] Q7: WRONG (got C, correct B) — 37.5% — 117.2s (~817m left)
  [9/310] Q8: CORRECT (got A, correct A) — 44.4% — 142.7s (~804m left)
  [10/310] Q9: WRONG (got B, correct C) — 40.0% — 283.0s (~862m left)
  [11/310] Q10: WRONG (got D, correct C) — 36.4% — 192.7s (~869m left)
  [12/310] Q11: CORRECT (got B, correct B) — 41.7% — 376.0s (~949m left)
  [13/310] Q12: CORRECT (got D, correct D) — 46.2% — 76.0s (~902m left)
  [14/310] Q13: WRONG (got B, correct D) — 42.9% — 62.0s (~857m left)
  [15/310] Q14: WRONG (got A, correct D) — 40.0% — 66.4s (~819m left)
  [16/310] Q15: CORRECT (got B, correct B) — 43.8% — 74.3s (~788m left)
  [17/310] Q16: WRONG (got A, correct C) — 41.2% — 93.2s (~766m left)
  [18/310] Q17: CORRECT (got B, correct B) — 44.4% — 67.5s (~739m left)
  [19/310] Q18: CORRECT (got B, correct B) — 47.4% — 162.2s (~739m left)
  [20/310] Q19: CORRECT (got C, correct C) — 50.0% — 410.2s (~799m left)
  [21/310] Q20: CORRECT (got D, correct D) — 52.4% — 96.6s (~780m left)
  [22/310] Q21: CORRECT (got C, correct C) — 54.5% — 372.1s (~823m left)
  [23/310] Q22: WRONG (got B, correct A) — 52.2% — 260.6s (~839m left)
  [24/310] Q23: CORRECT (got B, correct B) — 54.2% — 190.0s (~839m left)
  [25/310] Q24: WRONG (got A, correct B) — 52.0% — 94.2s (~821m left)
  [26/310] Q25: WRONG (got B, correct C) — 50.0% — 140.1s (~812m left)
  [27/310] Q26: CORRECT (got B, correct B) — 51.9% — 12.3s (~781m left)
  [28/310] Q27: CORRECT (got C, correct C) — 53.6% — 122.9s (~771m left)
  [29/310] Q28: CORRECT (got C, correct C) — 55.2% — 284.7s (~788m left)
  [30/310] Q29: WRONG (got B, correct C) — 53.3% — 45.9s (~766m left)
  [31/310] Q30: CORRECT (got D, correct D) — 54.8% — 93.3s (~753m left)
  [32/310] Q31: CORRECT (got B, correct B) — 56.2% — 78.6s (~738m left)
  [33/310] Q32: WRONG (got B, correct C) — 54.5% — 222.2s (~744m left)
  [34/310] Q33: CORRECT (got C, correct C) — 55.9% — 303.8s (~761m left)
