nohup: ignoring input
[FastRecognizer] Loading graph into C++ engine...
[FastRecognizer] Loaded 952883 segments.

  MMLU High School Biology Benchmark
  310 questions, model: llama3.2:3b

  [1/310] Q0: CORRECT (got A, correct A) — 100.0% — 29.6s (~153m left)
  [2/310] Q1: WRONG (got B, correct A) — 50.0% — 21.0s (~130m left)
  [3/310] Q2: CORRECT (got C, correct C) — 66.7% — 22.0s (~124m left)
  [4/310] Q3: WRONG (got C, correct A) — 50.0% — 24.3s (~124m left)
  [5/310] Q4: WRONG (got A, correct C) — 40.0% — 18.2s (~117m left)
  [6/310] Q5: CORRECT (got C, correct C) — 50.0% — 18.6s (~113m left)
  [7/310] Q6: CORRECT (got B, correct B) — 57.1% — 16.2s (~108m left)
  [8/310] Q7: CORRECT (got B, correct B) — 62.5% — 18.4s (~106m left)
  [9/310] Q8: CORRECT (got A, correct A) — 66.7% — 21.5s (~106m left)
  [10/310] Q9: WRONG (got B, correct C) — 60.0% — 24.8s (~107m left)
  [11/310] Q10: CORRECT (got C, correct C) — 63.6% — 22.9s (~108m left)
  [12/310] Q11: CORRECT (got B, correct B) — 66.7% — 25.5s (~109m left)
  [13/310] Q12: WRONG (got B, correct D) — 61.5% — 17.2s (~107m left)
  [14/310] Q13: WRONG (got C, correct D) — 57.1% — 17.1s (~105m left)
  [15/310] Q14: WRONG (got B, correct D) — 53.3% — 16.5s (~103m left)
  [16/310] Q15: CORRECT (got B, correct B) — 56.2% — 15.3s (~101m left)
  [17/310] Q16: WRONG (got A, correct C) — 52.9% — 18.6s (~100m left)
  [18/310] Q17: WRONG (got A, correct B) — 50.0% — 16.7s (~99m left)
  [19/310] Q18: WRONG (got A, correct B) — 47.4% — 19.9s (~98m left)
  [20/310] Q19: CORRECT (got C, correct C) — 50.0% — 25.6s (~99m left)
  [21/310] Q20: WRONG (got B, correct D) — 47.6% — 18.3s (~98m left)
  [22/310] Q21: CORRECT (got C, correct C) — 50.0% — 26.0s (~99m left)
  [23/310] Q22: WRONG (got B, correct A) — 47.8% — 23.6s (~99m left)
  [24/310] Q23: CORRECT (got B, correct B) — 50.0% — 21.7s (~99m left)
  [25/310] Q24: CORRECT (got B, correct B) — 52.0% — 17.7s (~98m left)
  [26/310] Q25: CORRECT (got C, correct C) — 53.8% — 22.4s (~98m left)
  [27/310] Q26: CORRECT (got B, correct B) — 55.6% — 3.8s (~95m left)
  [28/310] Q27: WRONG (got D, correct C) — 53.6% — 20.1s (~95m left)
  [29/310] Q28: CORRECT (got C, correct C) — 55.2% — 24.6s (~95m left)
  [30/310] Q29: WRONG (got B, correct C) — 53.3% — 13.0s (~94m left)
  [31/310] Q30: WRONG (got B, correct D) — 51.6% — 17.2s (~93m left)
  [32/310] Q31: CORRECT (got B, correct B) — 53.1% — 14.4s (~92m left)
  [33/310] Q32: WRONG (got A, correct C) — 51.5% — 22.9s (~92m left)
  [34/310] Q33: CORRECT (got C, correct C) — 52.9% — 26.1s (~92m left)
  [35/310] Q34: WRONG (got B, correct D) — 51.4% — 19.0s (~92m left)
  [36/310] Q35: WRONG (got B, correct C) — 50.0% — 19.3s (~91m left)
  [37/310] Q36: CORRECT (got B, correct B) — 51.4% — 14.3s (~90m left)
  [38/310] Q37: CORRECT (got D, correct D) — 52.6% — 14.7s (~89m left)
  [39/310] Q38: WRONG (got B, correct C) — 51.3% — 21.4s (~89m left)
  [40/310] Q39: CORRECT (got B, correct B) — 52.5% — 19.9s (~89m left)
  [41/310] Q40: CORRECT (got A, correct A) — 53.7% — 17.7s (~88m left)
  [42/310] Q41: CORRECT (got D, correct D) — 54.8% — 18.6s (~88m left)
  [43/310] Q42: WRONG (got A, correct B) — 53.5% — 21.2s (~88m left)
  [44/310] Q43: CORRECT (got A, correct A) — 54.5% — 20.4s (~88m left)
  [45/310] Q44: CORRECT (got B, correct B) — 55.6% — 24.4s (~88m left)
  [46/310] Q45: CORRECT (got C, correct C) — 56.5% — 21.0s (~87m left)
  [47/310] Q46: WRONG (got A, correct D) — 55.3% — 18.5s (~87m left)
  [48/310] Q47: CORRECT (got A, correct A) — 56.2% — 22.6s (~87m left)
  [49/310] Q48: CORRECT (got B, correct B) — 57.1% — 6.6s (~85m left)
  [50/310] Q49: WRONG (got D, correct C) — 56.0% — 23.7s (~85m left)
  [51/310] Q50: CORRECT (got D, correct D) — 56.9% — 24.0s (~85m left)
  [52/310] Q51: WRONG (got B, correct A) — 55.8% — 21.9s (~85m left)
  [53/310] Q52: CORRECT (got A, correct A) — 56.6% — 7.7s (~84m left)
  [54/310] Q53: WRONG (got B, correct D) — 55.6% — 19.9s (~84m left)
  [55/310] Q54: CORRECT (got D, correct D) — 56.4% — 21.1s (~83m left)
  [56/310] Q55: CORRECT (got D, correct D) — 57.1% — 25.9s (~84m left)
  [57/310] Q56: WRONG (got A, correct C) — 56.1% — 18.8s (~83m left)
  [58/310] Q57: WRONG (got A, correct B) — 55.2% — 20.3s (~83m left)
  [59/310] Q58: WRONG (got D, correct C) — 54.2% — 25.8s (~83m left)
  [60/310] Q59: WRONG (got A, correct D) — 53.3% — 23.8s (~83m left)
  [61/310] Q60: WRONG (got B, correct D) — 52.5% — 21.8s (~83m left)
  [62/310] Q61: WRONG (got A, correct D) — 51.6% — 14.4s (~82m left)
  [63/310] Q62: WRONG (got B, correct A) — 50.8% — 21.8s (~82m left)
  [64/310] Q63: WRONG (got B, correct C) — 50.0% — 18.1s (~81m left)
  [65/310] Q64: CORRECT (got D, correct D) — 50.8% — 16.7s (~81m left)
  [66/310] Q65: WRONG (got C, correct B) — 50.0% — 20.9s (~81m left)
  [67/310] Q66: CORRECT (got C, correct C) — 50.7% — 17.8s (~80m left)
  [68/310] Q67: WRONG (got D, correct C) — 50.0% — 23.0s (~80m left)
  [69/310] Q68: CORRECT (got C, correct C) — 50.7% — 21.7s (~80m left)
  [70/310] Q69: CORRECT (got C, correct C) — 51.4% — 23.8s (~80m left)
  [71/310] Q70: CORRECT (got B, correct B) — 52.1% — 23.3s (~80m left)
  [72/310] Q71: WRONG (got C, correct D) — 51.4% — 26.6s (~80m left)
  [73/310] Q72: WRONG (got B, correct D) — 50.7% — 21.4s (~79m left)
  [74/310] Q73: WRONG (got D, correct A) — 50.0% — 22.9s (~79m left)
  [75/310] Q74: WRONG (got B, correct D) — 49.3% — 24.0s (~79m left)
  [76/310] Q75: WRONG (got C, correct D) — 48.7% — 21.8s (~79m left)
  [77/310] Q76: CORRECT (got D, correct D) — 49.4% — 19.6s (~78m left)
  [78/310] Q77: WRONG (got B, correct D) — 48.7% — 24.0s (~78m left)
  [79/310] Q78: CORRECT (got C, correct C) — 49.4% — 21.1s (~78m left)
  [80/310] Q79: CORRECT (got D, correct D) — 50.0% — 21.6s (~78m left)
  [81/310] Q80: CORRECT (got C, correct C) — 50.6% — 23.3s (~77m left)
  [82/310] Q81: CORRECT (got B, correct B) — 51.2% — 25.6s (~77m left)
